
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  UDP    0.0.0.0:5353           *:*                                    3724
  UDP    0.0.0.0:5353           *:*                                    3724
  UDP    0.0.0.0:5353           *:*                                    12444
  UDP    0.0.0.0:5353           *:*                                    20304
  UDP    0.0.0.0:5353           *:*                                    20304
  UDP    0.0.0.0:5353           *:*                                    25392
  UDP    0.0.0.0:5355           *:*                                    1912
  UDP    0.0.0.0:15000          *:*                                    11536
  UDP    0.0.0.0:50001          *:*                                    4488
  UDP    0.0.0.0:55828          *:*                                    33396
  UDP    0.0.0.0:58867          *:*                                    4536
  UDP    0.0.0.0:62687          *:*                                    4536
  UDP    0.0.0.0:62688          *:*                                    4536
  UDP    0.0.0.0:63354          *:*                                    5964
  UDP    10.51.4.206:137        *:*                                    4
  UDP    10.51.4.206:138        *:*                                    4
  UDP    10.51.4.206:1900       *:*                                    3480
  UDP    10.51.4.206:2177       *:*                                    30472
  UDP    10.51.4.206:60103      *:*                                    3480
  UDP    10.51.4.228:5353       *:*                                    5964
  UDP    127.0.0.1:1900         *:*                                    3480
  UDP    127.0.0.1:49485        *:*                                    6712
  UDP    127.0.0.1:53143        *:*                                    3544
  UDP    127.0.0.1:55498        *:*                                    2204
  UDP    127.0.0.1:56309        *:*                                    1032
  UDP    127.0.0.1:56417        *:*                                    5688
  UDP    127.0.0.1:56473        *:*                                    17896
  UDP    127.0.0.1:58150        *:*                                    20428
  UDP    127.0.0.1:59592        *:*                                    11064
  UDP    127.0.0.1:60104        *:*                                    3480
  UDP    172.25.32.1:67         *:*                                    4536
  UDP    172.25.32.1:68         *:*                                    4536
  UDP    172.25.32.1:137        *:*                                    4
  UDP    172.25.32.1:138        *:*                                    4
  UDP    172.25.32.1:1900       *:*                                    3480
  UDP    172.25.32.1:2177       *:*                                    30472
  UDP    172.25.32.1:5353       *:*                                    5964
  UDP    172.25.32.1:60102      *:*                                    3480
  UDP    172.26.144.1:137       *:*                                    4
  UDP    172.26.144.1:138       *:*                                    4
  UDP    172.26.144.1:1900      *:*                                    3480
  UDP    172.26.144.1:2177      *:*                                    30472
  UDP    172.26.144.1:60105     *:*                                    3480
  UDP    [::]:123               *:*                                    1596
  UDP    [::]:500               *:*                                    4632
  UDP    [::]:3389              *:*                                    1548
  UDP    [::]:3702              *:*                                    33396
  UDP    [::]:3702              *:*                                    33396
  UDP    [::]:4500              *:*                                    4632
  UDP    [::]:5353              *:*                                    12444
  UDP    [::]:5353              *:*                                    25392
  UDP    [::]:5353              *:*                                    1912
  UDP    [::]:5353              *:*                                    20304
  UDP    [::]:5353              *:*                                    25392
  UDP    [::]:5353              *:*                                    12444
  UDP    [::]:5353              *:*                                    12444
  UDP    [::]:5353              *:*                                    20304
  UDP    [::]:5353              *:*                                    20304
  UDP    [::]:5353              *:*                                    3724
  UDP    [::]:5353              *:*                                    3724
  UDP    [::]:5353              *:*                                    3724
  UDP    [::]:5353              *:*                                    25392
  UDP    [::]:5355              *:*                                    1912
  UDP    [::]:15000             *:*                                    11536
  UDP    [::]:55829             *:*                                    33396
  UDP    [::]:58868             *:*                                    4536
  UDP    [::]:62689             *:*                                    4536
  UDP    [::]:63355             *:*                                    5964
  UDP    [::1]:1900             *:*                                    3480
  UDP    [::1]:5353             *:*                                    5964
  UDP    [::1]:60100            *:*                                    3480
  UDP    [fe80::1f28:a021:fd5b:e7be%67]:1900  *:*                                    3480
  UDP    [fe80::1f28:a021:fd5b:e7be%67]:2177  *:*                                    30472
  UDP    [fe80::1f28:a021:fd5b:e7be%67]:60101  *:*                                    3480
  UDP    [fe80::8416:4c03:8df9:bf3e%7]:1900  *:*                                    3480
  UDP    [fe80::8416:4c03:8df9:bf3e%7]:2177  *:*                                    30472
  UDP    [fe80::8416:4c03:8df9:bf3e%7]:60099  *:*                                    3480
  UDP    [fe80::bbf2:a7c1:95a6:2a7c%28]:1900  *:*                                    3480
  UDP    [fe80::bbf2:a7c1:95a6:2a7c%28]:2177  *:*                                    30472
  UDP    [fe80::bbf2:a7c1:95a6:2a7c%28]:60098  *:*                                    3480
